"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","Battery Cell 3.3V","~","Battery:Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles","1",""
"C1","22ÂµF","~","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","1",""
"D1","LEFT","~","LED_THT:LED_D5.0mm_Clear","1",""
"D2","RIGHT","~","LED_THT:LED_D5.0mm_Clear","1",""
"IC1,IC2,IC3,IC4,IC5,IC6","LDD-700L","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-14/277848.pdf","LDD:LDD-XXXL","6",""
"J1","OLED","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J1.in1","~","~","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Horizontal","1",""
"J1.out1","Polulu Power","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","1",""
"J2","LED STRIPS","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J3","To Dashboard","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","1",""
"J4","To Computer","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","1",""
"J5","Speed Sensor","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J6","Headlights","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J7","Rearlights","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J8","Blinkers","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J9","PowerSwitch","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J10","Addon 1","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J11","Addon 2","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J12","extra led strips","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"R1","4M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3,R4,R5,R11,R12,R17,R18","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","7",""
"R6,R7,R8","220k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R9,R10","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R13,R14,R15,R16,R19,R20","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"R21,R22,R23,R24","370","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"SW2","Left","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW3","Down (lights)","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW4","Up (lights)","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW5","Brake","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW6","Horn","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW7","Display","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW8","Right","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"U1","SN74AHCT125N","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74ahct125","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
"U2","LC78_05 2.0","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","Teensy4.0","","Teensy:Teensy40_SMT","1",""
